Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Visualizaciones,Tiempo de visualización (horas),Suscriptores,Ingresos estimados (USD),Impresiones,Porcentaje de clics de las impresiones (%)
HMIGhJs33YU,Trasformaciones lineales,"Dec 5, 2021",426,114,4.9194,1,0.003,1825,2.14
Wj7JHJwLh9Y,Clase de repaso -Área entre curvas,"May 19, 2024",1097,102,6.1611,2,0.056,2868,1.22
rmR9d1CFAXg,Ejercicio #3 - Expresiones algebraicas,"Oct 23, 2021",712,92,5.8907,6,0.001,1525,1.97
QDsP6a526DM,Ejemplo de límite de una sucesión,"Mar 3, 2022",336,89,2.2562,0,0.004,3518,1.28
MXpCLHPX4Nk,👉 ¿Qué es el gradiente de una función de 3 variables? 🚀 Explicado fácil,"Aug 27, 2025",34,82,0.4521,0,0.012,1917,2.66
VFrjSZRqFvQ,Regla de la cadena parte 2,"Dec 13, 2021",1128,81,6.5496,1,,636,3.77
Btwl2SGbtok,EJERCICIO #1: Pruebas SABER-PRO,"Nov 24, 2021",412,80,2.5633,1,0.001,1226,1.96
ReHuN1mumNo,Regla de la cadena parte 1,"Dec 12, 2021",655,77,3.4867,0,,562,3.56
rlb66-zXogk,Circunferencias -  ecuación canónica y ecuación general,"Dec 24, 2021",1189,76,7.6718,1,0,2525,1.43
qMQ_Fk9r-KU,Ejercicio #2 - Expresiones algebraicas,"Oct 23, 2021",483,73,4.541,0,0.001,969,2.06
5DSZo2Mh9IM,Meet   Cálculo I GL1A Lorica   Google Chrome 2022 12 08 13 24 29,,7200,40,8.6778,1,,0,
Reijlyy0TBM,"Quién resuelve MEJOR esta integral? 🤯 Humano vs ChatGPT, Gemini, Claude y DeepSeek","Feb 18, 2026",1157,33,2.9894,3,0.02,404,2.23
XOQ-_YLo7vs,Derivada Direccional de una Función de 2 Variables | Ejercicio Resuelto,"Sep 4, 2025",28,32,0.1123,0,0.011,698,2.29
n57fc-x5iA0,¿Cuál IA Explica Mejor Derivadas Parciales? Las Puse a Prueba,"Feb 20, 2026",1497,24,3.7177,0,0.036,605,1.98
_F-JSQclULY,Continuidad en varias variables: Análisis riguroso y el duelo entre 4 inteligencias artificiales,"Feb 23, 2026",2590,12,1.8106,0,0.027,541,1.11
qOmUzecUK7Y,Clase 26-05-2024 Sólidos de revolución-Cascarones cilíndricos,,6296,8,0.3761,0,0.001,25,0
H7zde2xjsuQ,Meet  2022-11-11 16 18 37,,7168,8,2.7219,0,,0,
hUIJzZrMCSs,Sesión 2,,7850,8,0.0889,0,0.001,1,0
MjWwR-1LrvA,21-feb-2024,,4813,7,0.8221,0,0.001,3,0
jkqNOJW3uf0,18-05-2020 Integración por partes e integrales trigonométricas,,7377,6,0.995,0,0.001,1,0
KpWaqFIT0PA,Clase 25-05-2024 Sólidos de revolución,,6776,6,0.0243,0,,26,0
FBNlMUu5dPo,Matemáticas para ciencias e ingenierías,,30,5,0.0255,0,,52,1.92
tz6fn3ZBxbQ,Clase 2024-05-28,,5691,5,0.0704,0,,1,0
9lnUE9o9BF4,Clase 2024-05-27 integrales impropias Tipo I y Tipo II,,5644,4,0.8046,0,,1,0
xJDSFivklj0,Solución ejercicios Sistemas de ecuaciones lineales generalizados,,9316,4,0.0591,0,0.006,0,
BhSg3-J-xX4,OpenBoard Cast 2,,5599,4,0.1137,0,0.001,0,
GK2k9MLgHL4,Pitch LevelUp ELO,,112,3,0.0508,0,,0,
RTFq3vSH9x4,2023 07 14 18 58 43,,4621,3,0.0287,0,0.002,0,
2G3rg4UT724,Clase  06/julio/2023,,1312,3,0.0155,0,,0,
p5SoqtPDqJI,04/Nov/2023,,10072,3,0.6653,0,0.005,1,0
gBGhMBFMz-k,27-12-2023-Caso III de factorización-Trinomio cuadrado perfecto,,3345,3,0.1782,0,,39,2.56
1tKioeFaVuU,Métodos de integración,,8708,2,0.0171,0,,65,1.54
r7luKnb0WLQ,Series de potencia 2022 11 16 18 37 45,,4252,1,0.0095,0,,0,
ubWiEVunbBQ,21-12-2023-Caso II de factorización-Factor común por agrupación de términos,,3082,1,0.1559,0,0.001,1,0
H7aMtEzffoQ,Clase 17-05-2024 (Método de sustitución),,3906,1,0.3445,0,,1,0
wIRZoNb2KMQ,Clase - Sistitución trigonométrica,,11511,1,0.0108,0,,1,0
